Lat',Long',Name'
35.13109241,129.0512513,Place of DeathAccident1'
35.19443107,129.0955973,Place of DeathAccident2'
35.20119156,129.0778252,Place of DeathAccident3'
35.09558877,129.0637316,Place of DeathAccident4'
35.18145782,129.171072,Place of DeathAccident5'
35.14875647,129.0205538,Place of DeathAccident6'
35.15517659,129.0721332,Place of DeathAccident7'
35.16489144,129.0344467,Place of DeathAccident8'
35.16752718,129.0384709,Place of DeathAccident9'
35.16541253,129.0648916,Place of DeathAccident10'
35.25796393,129.0911898,Place of DeathAccident11'
35.25124552,129.0913783,Place of DeathAccident12'
35.09220898,128.9602555,Place of DeathAccident13'
35.1945642,128.8950082,Place of DeathAccident14'
35.10355361,128.9051511,Place of DeathAccident15'
35.19724042,128.9661093,Place of DeathAccident16'
35.16342399,128.9909576,Place of DeathAccident17'
35.13215856,128.9648647,Place of DeathAccident18'
35.33397812,129.1781892,Place of DeathAccident19'
35.10200454,129.0251046,Place of DeathAccident20'
35.13954369,129.0615315,Place of DeathAccident21'
35.09673475,129.0247322,Place of DeathAccident22'
35.11532839,129.0180889,Place of DeathAccident23'
35.11971492,129.1120448,Place of DeathAccident24'
35.15397522,129.1174322,Place of DeathAccident25'
35.165441,129.1622353,Place of DeathAccident26'
35.15370281,129.0315689,Place of DeathAccident27'
35.09713995,128.9226499,Place of DeathAccident28'
35.18206041,128.9859663,Place of DeathAccident29'
35.21727821,129.2110488,Place of DeathAccident30'
35.28317997,129.2271238,Place of DeathAccident31'
35.20628151,128.9964918,Place of DeathAccident32'
35.20358215,129.0839349,Place of DeathAccident33'
35.20370049,129.0797082,Place of DeathAccident34'
35.09961159,129.0580049,Place of DeathAccident35'
35.08807725,129.046948,Place of DeathAccident36'
35.21979214,129.1281528,Place of DeathAccident37'
35.16328854,129.1442298,Place of DeathAccident38'
35.16263639,129.0690105,Place of DeathAccident39'
35.1591148,129.0599996,Place of DeathAccident40'
35.14772412,129.0289354,Place of DeathAccident41'
35.10617056,128.9636314,Place of DeathAccident42'
35.18007439,129.0882995,Place of DeathAccident43'
35.17423455,129.0894816,Place of DeathAccident44'
35.21143182,128.9767163,Place of DeathAccident45'
35.08872921,128.8842753,Place of DeathAccident46'
35.11285698,128.9266592,Place of DeathAccident47'
35.16298301,128.9586057,Place of DeathAccident48'
35.31975271,129.1916783,Place of DeathAccident49'
35.11434765,129.0400819,Place of DeathAccident50'
35.10038309,129.0163636,Place of DeathAccident51'
35.12155335,129.0779271,Place of DeathAccident52'
35.16003006,129.1204899,Place of DeathAccident53'
35.13473394,129.0826989,Place of DeathAccident54'
35.12546336,129.1183496,Place of DeathAccident55'
35.14332579,129.0667803,Place of DeathAccident56'
35.2395757,129.0140602,Place of DeathAccident57'
35.20319517,129.0783583,Place of DeathAccident58'
35.15242409,129.0178337,Place of DeathAccident59'
35.16604926,129.0651552,Place of DeathAccident60'
35.17011324,129.0688137,Place of DeathAccident61'
35.25009091,129.0917646,Place of DeathAccident62'
35.06471892,128.9795375,Place of DeathAccident63'
35.18790185,129.0984568,Place of DeathAccident64'
35.07408074,128.8347715,Place of DeathAccident65'
35.16264623,128.9811565,Place of DeathAccident66'
35.2439665,129.0133395,Place of DeathAccident67'
35.09918794,129.0572947,Place of DeathAccident68'
35.16675744,129.1700904,Place of DeathAccident69'
35.16034765,129.1628452,Place of DeathAccident70'
35.17906899,129.1260114,Place of DeathAccident71'
35.31730721,129.1765027,Place of DeathAccident72'
35.17426173,129.0894711,Place of DeathAccident73'
35.08431788,128.9015853,Place of DeathAccident74'
35.12422609,128.9662041,Place of DeathAccident75'
35.18269726,128.9860877,Place of DeathAccident76'
35.19274427,128.9821629,Place of DeathAccident77'
35.32172144,129.2302973,Place of DeathAccident78'
35.08162672,129.0152749,Place of DeathAccident79'
35.10963699,129.0103248,Place of DeathAccident80'
35.13414008,129.0769363,Place of DeathAccident81'
35.20164421,129.0838973,Place of DeathAccident82'
35.17461761,129.1224639,Place of DeathAccident83'
